"Honestly, you can never have too many <BLANK>","beepers 
frenemies 
reasons to stay inside",no,no,,
You know a restaurant is bad when the waiter says “<BLANK>”,"Shhhh... only get the house salad 
Would you like to hear my mixtape? 
Run. RUN!!!!!",no,no,,
That horror movie was so scary until the killer turned out to be <BLANK>,"society 
a slippery banana peel 
a very average horse",no,no,,
What would you call your ANTI-social network?,"Macebook 
Instaham 
UnlinkedIn",no,no,,
An old-fashioned curse word that nobody uses anymore,"Ham-tootin' 
Flibbertigibbet 
Cod-dangit",no,no,,
What’s the worst thing to wear when running a marathon?,"a cozy caftan 
sandpaper shorts 
a frown",no,no,,
Your fish are bored! You should put a <BLANK> in their tank to amuse them.,"tiny stand-up comedian 
Nintendo 64 
\""Chicken Soup for the Soul\"" book",no,no,,
"In this house, “Grandma” and “Grandpa” are known as <BLANK>","the enemy 
Gim-Gammy and Paul 
Dr. and Mrs. Charleston",no,no,,
“Pokémon Trainer” is a much nobler job title than “Pokémon <BLANK>”,"gambler 
incinerator 
life coach",no,no,,
Archaeologists won’t admit they’ve discovered cave paintings of <BLANK>,"the first hoagie 
mindless small talk 
our ugliest ancestor",no,no,,
The secret thing cats do when we’re not looking,"Invest in bonds 
Something interesting for once 
Make scrambled eggs",no,no,,
A good sign that you’re a terrible farmer,"silos filled with jelly beans 
wear a three-piece suit on the tractor 
can't spit fer nuthin'",no,no,,
"If your childhood toys came to life, they would probably say “<BLANK>”","You're disgusting 
I thought what we had was special 
Why did you wet the bed so much?",no,no,,
The worst restaurant: <BLANK> Hut,"Butter 
Loose Kale 
No Handwashing",no,no,,
What skin tags probably taste like,"niblets of corn 
crab meat 
candy canes",no,no,Chicken,"""Oh god, bluh, that is disgusting! Everybody knows that they taste like cheese puffs!"""
What your mom thinks the word “yeet” means,"young feet 
fake meat 
what little lambs say",yes,no,,
You know it’s a party when someone shows up with <BLANK>,"emotional baggage 
lukewarm dip 
loose firecrackers",no,no,,
You know the lottery scratch-off ticket won’t pay out much when the goal is to get three <BLANK>,"cigarette butts 
socks with holes in them 
cherry pits",no,yes,,
A surprising new use for kale,"Wound dressing 
Decoupage 
Jet fuel",no,no,,
"Believe it or not, kids are going crazy over these <BLANK> trading cards","Pro-Capitalism 
Blank 
Math!",no,no,,
A name for a music festival your mother would approve of,"Easy Listening Fest 
Hot Meal-a-palooza 
Home by Eleven",no,no,,
"What defeats rock, paper AND scissors?","hook 'em horns 
the human heart 
a military-issue flash grenade",no,no,"Fart 
Farts","""Yeah. Obviously. Fart covers rock, it warps paper, and it makes scissors rusty. Boom, there it is."""
"Along with tall, grande and venti, Starbucks should add a new coffee size: <BLANK>","Chonky 
Hypertensionetti 
Bucket",no,no,,
The nicest compliment you can give to a snake,"You're looking especially scaly today 
That's the widest jaw I've ever seen 
Hey baby, shake that rattle for me",no,no,,
"Under a full moon, a small number of people turn into <BLANK>","real jerks 
whatwolves 
their younger selves",no,no,,
What the US president counts at night instead of sheep,"Barrels of oil 
selfies 
Press Secretaries",yes,no,,
A rejected slogan for milk,,no,no,,
"There’s nothing sexier than a tall, beefy boy who knows how to <BLANK>","build his own gaming PC 
be emotionally available 
pull off overalls",no,yes,,
What’s at the core of the planet named after you?,"Nachos 
Chronic anxiety 
The stuff Pringles are made of",no,no,,
Name of an award show that celebrates the most mediocre movies of the year,"The Decents 
The ""Meh""mmies",no,no,,
Relationship rules: Never go to bed angry and never wake up <BLANK>,"a werewolf 
your dog 
in a second location",no,no,,
He’s just not that into you... because he’s into <BLANK>,"Beyblades 
perfecting his sourdough starter 
stamp collecting",no,no,,
Hard to believe but Madame Tussauds now has a wax statue of <BLANK>,"the inventor of Poo-Pourri 
you, the viewer at home 
your future husband",no,no,,
The worst words to end a scary story,"the killer was let out early on good behavior 
Turns out the real monster was society 
Thank you for reading my cover letter",no,no,,
The absolute dumbest question to pose in Yahoo! Answers,"what do I feel like eating? 
what's my favorite color? 
why does the sun keep rising?",no,no,,
A good use for all your old CDs,"obnoxious earrings 
enjoying the hits of the '90s 
radical coasters",no,no,,
"The worst breakup line: “It’s not you, it’s <BLANK>”","my hotter friend 
my raised standards 
...actually it definitely is you",no,no,,
It would be terrifying to have a painting of <BLANK> above your bed,"Count Dooku 
Mr. Peanut 
your dead pet",no,no,,
A cool nickname for your bowel movements,"The Pain Train 
Farty Friends 
The Stinky Boyz",no,yes,,
A sure sign you are trapped in a horrible nightmare,"teeth keep falling out 
keep losing ability to fly 
you're sharing your bed with a wolverine",no,no,,
"First, she asked for legs, then the Little Mermaid asked for <BLANK>","peep toe wedges 
an annulment 
a sequel",no,no,,
What every woman is hiding under her bangs,"an all-seeing third eye 
smaller, worse bangs 
a tiny Bugs Bunny tattoo",no,no,,
The generational nickname for babies born ten years from now,"Baby Gloomers 
Gen Why 
Willenials",no,no,,
A cute nickname for your butt,"my lower shoulders 
portable seat cushion 
Butty Booty Butt Butt",no,no,,
A comment that has NEVER been made on the internet,"I agree with everything in this post 
I'm happy to be proven wrong! 
I don't have an opinion.",no,no,,
